French,English
partie,part
histoire,history
police,police
frère,brother
car,because
aucun,no
laisse,leash
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
attention,Warning
voici,here is
pourrais,could
donner,give
leurs,their
train,train
corps,body
yeux,eyes
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
côté,side
sois,be
matin,morning
enfant,child
point,point
pardon,sorry
venez,come
devant,in front of
vers,towards
chambre,bedroom
belle,beautiful
aujourd'hui,today
enfin,finally
eau,water
attendez,Wait
parti,left
arrêter,Stop
dirait,would say
loin,far
fin,end
plutôt,rather
filles,girls
